time,displacement,velocity,force
4.76400000000007,0.00103573992364627,0.00179102133544714,-7.08423301190949
4.76700000000007,0.00104102110556454,0.0017295025470394,-7.26907435499141
4.77000000000007,0.00104611538244646,0.00166642732328238,-7.4473740220478
4.77300000000007,0.00105101816978733,0.00160185242761791,-7.61897155541066
4.77600000000007,0.00105572505541006,0.00153583597309133,-7.78371252887995
4.77900000000007,0.0010602318034359,0.00146843737005369,-7.94144868669675
4.78200000000007,0.00106453435809642,0.00139971727269642,-8.09203807696348
4.78500000000007,0.00106862884738342,0.00132973752446665,-8.23534517939094
4.78800000000007,0.00107251158653349,0.00125856110241231,-8.3712410272575
4.79100000000007,0.00107617908134406,0.00118625206050701,-8.4996033234704
4.79400000000007,0.00107962803131791,0.00111287547200579,-8.62031655062491
4.79700000000007,0.00108285533263343,0.00103849737088361,-8.73327207496216
4.80000000000007,0.00108585808093782,0.000963184692409177,-8.83836824413223
4.80300000000007,0.00108863357396085,0.000887005212907786,-8.93551047867436
4.80600000000007,0.00109117931394668,0.000810027488767147,-9.02461135713213
4.80900000000007,0.0010934930099017,0.000732320794741292,-9.10559069472682
4.81200000000007,0.00109557257965625,0.000653955061607964,-9.17837561551833
4.81500000000007,0.00109741615173845,0.000575000813235635,-9.24290061798861
4.81800000000007,0.00109902206705839,0.000495529103116791,-9.29910763398859
4.82100000000007,0.0011003888804012,0.000415611450424578,-9.34694608099558
4.82400000000007,0.00110151536172763,0.000335319775650378,-9.38637290763416
4.82700000000007,0.00110240049728105,0.000254726335880217,-9.41735263241949
4.83000000000007,0.00110304349049969,0.000173903659768267,-9.43985737568828
4.83300000000007,0.00110344376273357,9.29244822659543e-05,-9.45386688468853
4.83600000000007,0.00110360095376518,1.18616791654086e-05,-9.45936855180575
4.83900000000007,0.00110351492213369,-6.92117984838287e-05,-9.45635742590887
4.84200000000007,0.00110318574526225,-0.000150222990025826,-9.44483621680596
4.84500000000007,0.0011026137193883,-0.000231098990857926,-9.42481529280559
4.84800000000007,0.00110179935929699,-0.00031176701803997,-9.39631267138604
4.85100000000007,0.0011007433978579,-0.000392154475794029,-9.35935400298079
4.85400000000007,0.00109944678536552,-0.000472189020835706,-9.31397254789486
4.85700000000007,0.00109791068868403,-0.000551798627478205,-9.26020914637278
4.86000000000007,0.00109613649019721,-0.000630911652450594,-9.19811218184513
4.86300000000007,0.00109412578656441,-0.000709456899371909,-9.12773753738673
4.86600000000007,0.0010918803872836,-0.000787363682823091,-9.0491485454256
4.86900000000007,0.00108940231306304,-0.000864561891959096,-8.96241593074809
4.87200000000007,0.00108669379400268,-0.000940982053603917,-8.86761774685136
4.87500000000007,0.00108375726758729,-0.00101655539477176,-8.76483930570043
4.87800000000007,0.00108059537649287,-0.00109121390455809,-8.65417310095327
4.88100000000007,0.0010772109662084,-0.00116489039534484,-8.53571872472265
4.88400000000007,0.00107360708247511,-0.00123751856326476,-8.40958277795003
4.88700000000007,0.00106978696854553,-0.00130903304787038,-8.27587877447188
4.89000000000007,0.00106575406226475,-0.00137936949095406,-8.1347270388649
4.89300000000007,0.00106151199297661,-0.00144846459446598,-7.986254598162
4.89600000000007,0.00105706457825755,-0.00151625617747813,-7.83059506753658
4.89900000000007,0.00105241582048102,-0.00158268323214296,-7.66788853005786
4.90200000000007,0.00104756990321563,-0.00164768597859631,-7.49828141062559
4.90500000000007,0.00104253118746022,-0.00171120591875527,-7.32192634419752
4.90800000000007,0.00103730420771925,-0.00177318588896247,-7.13898203842824
4.91100000000008,0.00103189366792205,-0.00183357011142956,-6.94961313084301
4.91400000000008,0.00102630443718963,-0.00189230424443343,-6.75399004067508
4.91700000000008,0.00102054154545275,-0.0019493354312201,-6.5522888154999
4.92000000000008,0.00101461017892537,-0.0020046123475722,-6.34469097280418
4.92300000000008,0.00100851567543736,-0.00205808524799737,-6.13138333663241
4.92600000000008,0.00100226351963087,-0.00210970601049576,-5.91255786945781
4.92900000000008,0.000995859338024471,-0.00215942817986667,-5.68841149942911
4.93200000000008,0.000989308893949691,-0.00220720700951501,-5.45914594314842
4.93500000000008,0.00098261808236441,-0.00225299950172028,-5.22496752414001
4.93800000000008,0.000975792924547785,-0.0022967644463316,-4.98608698717297
4.94100000000008,0.000968839562681513,-0.00233846245785403,-4.74271930860522
4.94400000000008,0.000961764254322274,-0.00237805601089291,-4.49508350291923
4.94700000000008,0.000954573366770361,-0.00241550947392414,-4.24340242562382
4.95000000000008,0.000947273371339534,-0.00245078914136017,-3.98790257269922
4.95300000000008,0.000939870837533276,-0.00248386326388275,-3.72881387676597
4.95600000000008,0.000932372427132683,-0.00251470207701516,-3.46636950016112
4.95900000000008,0.000924784888201312,-0.00254327782790825,-3.20080562510781
4.96200000000008,0.000917115049012378,-0.00256956480031612,-2.93236124116725
4.96500000000008,0.00090936981190377,-0.00259353933773901,-2.66127793016422
4.96800000000008,0.00090155614706641,-0.00261517986471254,-2.38779964877977
4.97100000000008,0.000893681086271557,-0.0026344669062242,-2.11217250900663
4.97400000000008,0.000885751716542683,-0.00265138310523951,-1.83464455666506
4.97700000000008,0.000877775173777631,-0.00266591323832222,-1.55546554817834
4.98000000000008,0.000869758636326791,-0.00267804422933433,-1.27488672580886
4.98300000000008,0.000861709318533066,-0.00268776516120378,-0.993160591557016
4.98600000000008,0.000853634464239453,-0.00269506728574903,-0.710540679926479
4.98900000000008,0.000845541340270072,-0.00269994403155188,-0.427281329760241
4.99200000000008,0.000837437229890515,-0.00270239100987126,-0.143637455352834
4.99500000000008,0.000829329426253399,-0.00270240601859283,0.140135682955342
4.99800000000008,0.000821225225835018,-0.00269998904421073,0.423782708495084
5.00100000000008,0.000813131921869014,-0.00269514226183972,0.707048358090159
5.00400000000008,0.000805056797782951,-0.00268787003325774,0.989677711776932
5.00700000000008,0.000797007120643727,-0.00267817890298059,1.27141642221512
5.01000000000008,0.000788990134617702,-0.00266607759237232,1.55201094358324
5.01300000000008,0.000781013054451437,-0.00265157699179659,1.83120875975274
5.01600000000008,0.000773083058978912,-0.00263469015081606,2.10875861153543
5.01900000000008,0.000765207284661056,-0.00261543226644869,2.38441072279985
5.02200000000008,0.000757392819163418,-0.00259382066949145,2.6579170252529
5.02500000000008,0.000749646694977744,-0.00256987480892373,2.92903138168455
5.02800000000008,0.000741975883093207,-0.00254361623440462,3.19750980747473
5.03100000000008,0.000734387286722992,-0.00251506857687967,3.46311069016303
5.03400000000008,0.000726887735091869,-0.00248425752731459,3.72559500688357
5.03700000000008,0.000719483977290347,-0.00245121081357515,3.98472653946948
5.04000000000008,0.000712182676200956,-0.00241595817547398,4.2402720870333
5.04300000000008,0.000704990402502094,-0.00237853133800671,4.49200167583203
5.04600000000008,0.000697913628754867,-0.00233896398280166,4.73968876622797
5.04900000000008,0.000690958723578218,-0.0022972917178086,4.98311045655913
5.05200000000008,0.000684131945917599,-0.00225355204525405,5.22204768373563
5.05500000000008,0.000677439439412342,-0.00220778432789176,5.45628542038177
5.05800000000008,0.000670887226866803,-0.00216002975357892,5.68561286834608
5.06100000000008,0.00066448120483024,-0.00211033129820985,5.90982364840547
5.06400000000008,0.000658227138290318,-0.00205873368704062,6.12871598599258
5.06700000000008,0.00065213065548501,-0.00200528335443932,6.34209289277931
5.07000000000008,0.00064619724283756,-0.00195002840209824,6.54976234395295
5.07300000000008,0.000640432240019078,-0.00189301855574566,6.75153745102562
5.07600000000008,0.000634840835143191,-0.00183430512039598,6.94723663002126
5.07900000000008,0.000629428060097093,-0.00177394093417871,7.13668376488896
5.08200000000008,0.000624198786013186,-0.00171198032078772,7.3197083659955
5.08500000000008,0.00061915771888539,-0.00164847904059356,7.49614572355453
5.08800000000008,0.000614309395334067,-0.00158349424046292,7.66583705585429
5.09100000000008,0.000609658178523366,-0.00151708440233027,7.82862965215036
5.09400000000008,0.000605208254234673,-0.0014493092905681,7.98437701009509
5.09700000000008,0.000600963627099689,-0.00138022989820301,8.13293896757979
5.10000000000008,0.000596928116996532,-0.00130990839202609,8.27418182887118
5.10300000000008,0.000593105355612101,-0.00123840805664702,8.4079784849285
5.10600000000008,0.000589498783173811,-0.00116579323754218,8.53420852779313
5.10900000000008,0.000586111645353613,-0.00109212928314807,8.65275835894754
5.11200000000008,0.000582946990347111,-0.00101748248605214,8.76352129154636
5.11500000000008,0.000580007666130393,-0.000941920023333919,8.86639764642731
5.11800000000008,0.000577296317897044,-0.000865509896110181,8.9612948418157
5.12100000000008,0.000574815385677649,-0.000788320868338535,9.04812747664183
5.12400000000008,0.00057256710214393,-0.000710422404934503,9.12681740739613
5.12700000000008,0.000570553490599496,-0.000631884609257784,9.19729381845309
5.13000000000008,0.000568776363159002,-0.000552778160023962,9.2594932858005
5.13300000000008,0.00056723731911737,-0.000473174247698433,9.31335983411683
5.13600000000008,0.000565937743510532,-0.000393144510429792,9.35884498714519
5.13900000000008,0.000564878805868989,-0.000312760969580334,9.39590781131874
5.14200000000008,0.000564061459165316,-0.00023209596491169,9.42451495259811
5.14500000000008,0.000563486438956547,-0.000151222089483923,9.44464066648775
5.14800000000008,0.000563154262722227,-7.02121243266757e-05,9.45626684120432
